"Fecha";"Millones de USD corrientes"
"2000/03/31";212,44663601
"2000/06/30";101,17974016
"2000/09/30";317,06442008
"2000/12/31";231,33312616
"2001/03/31";322,97745309
"2001/06/30";67,23416818
"2001/09/30";199,00553535
"2001/12/31";636,67113497
"2002/03/31";102,73142608
"2002/06/30";262,25466795
"2002/09/30";-244,6490916
"2002/12/31";18,39521174
"2003/03/31";-270,1672294
"2003/06/30";-198,0137969
"2003/09/30";329,31675787
"2003/12/31";-49,30758671
"2004/03/31";417,04688086
"2004/06/30";386,52715133
"2004/09/30";483,05570398
"2004/12/31";1183,455805
"2005/03/31";-528,9856079
"2005/06/30";991,59039554
"2005/09/30";1259,5859103
"2005/12/31";3,95636043
"2006/03/31";215,68209866
"2006/06/30";-869,5967613
"2006/09/30";427,40918956
"2006/12/31";259,2111728
"2007/03/31";3428,9953323
"2007/06/30";1025,1783728
"2007/09/30";97,04107801
"2007/12/31";137,42721703
"2008/03/31";671,45433224
"2008/06/30";949,14624004
"2008/09/30";1441,6108811
"2008/12/31";-486,6516262
"2009/03/31";84,10984385
"2009/06/30";-205,6136994
"2009/09/30";1255,2500193
"2009/12/31";317,36515167
"2010/03/31";367,63684909
"2010/06/30";1141,1969793
"2010/09/30";440,23780569
"2010/12/31";1193,401721
"2011/03/31";1206,1008303
"2011/06/30";1229,6305938
"2011/09/30";1322,5851774
"2011/12/31";-16,16288713
"2012/03/31";830,955183
"2012/06/30";1369,7329346
"2012/09/30";1437,9023014
"2012/12/31";1767,061977
"2013/03/31";2069,5044145
"2013/06/30";2049,7060949
"2013/09/30";2037,4908959
"2013/12/31";789,53353556
"2014/03/31";676,90686616
"2014/06/30";1114,4372536
"2014/09/30";2099,7186821
"2014/12/31";545,51503845
"2015/03/31";68,71457347
"2015/06/30";95,93842058
"2015/09/30";123,98095428
"2015/12/31";126,71783128
"2016/03/31";98,23406838
"2016/06/30";-154,9420875
"2016/09/30";85,4864342
"2016/12/31";136,34226659
"2017/03/31";92,81878938
"2017/06/30";154,24255988
"2017/09/30";125,54685624
"2017/12/31";172,50492791
"2018/03/31";136,81381924
"2018/06/30";149,58389066
"2018/09/30";168,83693705
"2018/12/31";731,61790155
"2019/03/31";2350,9154936
"2019/06/30";526,46401599
"2019/09/30";253,63984415
"2019/12/31";202,14489506
"2020/03/31";-171,1781648
"2020/06/30";2589,8033724
"2020/09/30";205,13798645
"2020/12/31";1704,7326101
"2021/03/31";190,127687
"2021/06/30";173,98878265
"2021/09/30";154,45625245
"2021/12/31";134,97245
"2022/03/31";126,94617491
"2022/06/30";74,07856108
"2022/09/30";159,38365881
"2022/12/31";210,48249969
"2023/03/31";365,72011872
"2023/06/30";399,08935856
"2023/09/30";457,47194811
"2023/12/31";496,10652672
"2024/03/31";951,37462549
"2024/06/30";914,45394585
"2024/09/30";1045,522539
