observation_date,COLIR3TIB01STM
2010-01-01,4.04
2010-02-01,4.00
2010-03-01,3.93
2010-04-01,3.92
2010-05-01,3.63
2010-06-01,3.54
2010-07-01,3.52
2010-08-01,3.50
2010-09-01,3.47
2010-10-01,3.45
2010-11-01,3.44
2010-12-01,3.50
2011-01-01,3.48
2011-02-01,3.46
2011-03-01,3.59
2011-04-01,3.74
2011-05-01,3.88
2011-06-01,4.10
2011-07-01,4.21
2011-08-01,4.49
2011-09-01,4.61
2011-10-01,4.72
2011-11-01,5.08
2011-12-01,5.12
2012-01-01,5.13
2012-02-01,5.27
2012-03-01,5.36
2012-04-01,5.47
2012-05-01,5.45
2012-06-01,5.45
2012-07-01,5.44
2012-08-01,5.41
2012-09-01,5.32
2012-10-01,5.42
2012-11-01,5.31
2012-12-01,5.22
2013-01-01,5.12
2013-02-01,4.82
2013-03-01,4.57
2013-04-01,4.21
2013-05-01,3.98
2013-06-01,3.94
2013-07-01,3.98
2013-08-01,4.07
2013-09-01,4.07
2013-10-01,4.02
2013-11-01,4.03
2013-12-01,4.06
2014-01-01,4.03
2014-02-01,3.97
2014-03-01,3.89
2014-04-01,3.81
2014-05-01,3.79
2014-06-01,3.94
2014-07-01,4.06
2014-08-01,4.04
2014-09-01,4.26
2014-10-01,4.33
2014-11-01,4.36
2014-12-01,4.34
2015-01-01,4.47
2015-02-01,4.45
2015-03-01,4.41
2015-04-01,4.51
2015-05-01,4.42
2015-06-01,4.40
2015-07-01,4.52
2015-08-01,4.47
2015-09-01,4.41
2015-10-01,4.72
2015-11-01,4.92
2015-12-01,5.24
2016-01-01,5.74
2016-02-01,6.25
2016-03-01,6.35
2016-04-01,6.65
2016-05-01,6.83
2016-06-01,6.91
2016-07-01,7.26
2016-08-01,7.19
2016-09-01,7.18
2016-10-01,7.09
2016-11-01,7.01
2016-12-01,6.92
2017-01-01,6.94
2017-02-01,6.78
2017-03-01,6.65
2017-04-01,6.53
2017-05-01,6.17
2017-06-01,5.96
2017-07-01,5.65
2017-08-01,5.58
2017-09-01,5.52
2017-10-01,5.46
2017-11-01,5.35
2017-12-01,5.28
2018-01-01,5.21
2018-02-01,5.07
2018-03-01,5.01
2018-04-01,4.90
2018-05-01,4.70
2018-06-01,4.60
2018-07-01,4.57
2018-08-01,4.53
2018-09-01,4.53
2018-10-01,4.43
2018-11-01,4.42
2018-12-01,4.54
2019-01-01,4.56
2019-02-01,4.57
2019-03-01,4.55
2019-04-01,4.54
2019-05-01,4.50
2019-06-01,4.52
2019-07-01,4.47
2019-08-01,4.43
2019-09-01,4.48
2019-10-01,4.41
2019-11-01,4.43
2019-12-01,4.52
2020-01-01,4.54
2020-02-01,4.46
2020-03-01,4.50
2020-04-01,4.55
2020-05-01,4.29
2020-06-01,3.76
2020-07-01,3.34
2020-08-01,2.79
2020-09-01,2.39
2020-10-01,2.03
2020-11-01,1.96
2020-12-01,1.93
