"Fecha";"Porcentaje (%)"
"2012/08/01";4,903
"2012/08/02";4,914
"2012/08/03";4,913
"2012/08/06";4,903
"2012/08/08";4,898
"2012/08/09";4,903
"2012/08/10";4,902
"2012/08/13";4,896
"2012/08/14";4,898
"2012/08/15";4,893
"2012/08/16";4,886
"2012/08/17";4,884
"2012/08/21";4,883
"2012/08/22";4,854
"2012/08/23";4,823
"2012/08/24";4,808
"2012/08/27";4,741
"2012/08/28";4,767
"2012/08/29";4,771
"2012/08/30";4,772
"2012/08/31";4,77
"2012/09/03";4,757
"2012/09/04";4,72
"2012/09/05";4,704
"2012/09/06";4,657
"2012/09/07";4,615
"2012/09/10";4,589
"2012/09/11";4,565
"2012/09/12";4,563
"2012/09/13";4,578
"2012/09/14";4,584
"2012/09/17";4,589
"2012/09/18";4,585
"2012/09/19";4,606
"2012/09/20";4,573
"2012/09/21";4,592
"2012/09/24";4,588
"2012/09/25";4,604
"2012/09/26";4,597
"2012/09/27";4,575
"2012/09/28";4,568
"2012/10/01";4,641
"2012/10/02";4,657
"2012/10/03";4,678
"2012/10/04";4,662
"2012/10/05";4,654
"2012/10/08";4,688
"2012/10/09";4,699
"2012/10/10";4,709
"2012/10/11";4,711
"2012/10/12";4,713
"2012/10/16";4,723
"2012/10/17";4,726
"2012/10/18";4,733
"2012/10/19";4,668
"2012/10/22";4,652
"2012/10/23";4,678
"2012/10/24";4,689
"2012/10/25";4,699
"2012/10/26";4,7
"2012/10/29";4,707
"2012/10/30";4,714
"2012/10/31";4,711
"2012/11/01";4,71
"2012/11/02";4,714
"2012/11/06";4,709
"2012/11/07";4,704
"2012/11/08";4,705
"2012/11/09";4,701
"2012/11/13";4,701
"2012/11/14";4,699
"2012/11/15";4,699
"2012/11/16";4,701
"2012/11/19";4,704
"2012/11/20";4,707
"2012/11/21";4,711
"2012/11/22";4,714
"2012/11/23";4,709
"2012/11/26";4,508
"2012/11/27";4,508
"2012/11/28";4,505
"2012/11/29";4,503
"2012/11/30";4,503
"2012/12/03";4,494
"2012/12/04";4,503
"2012/12/05";4,505
"2012/12/06";4,503
"2012/12/07";4,499
"2012/12/10";4,503
"2012/12/11";4,502
"2012/12/12";4,497
"2012/12/13";4,5
"2012/12/14";4,504
"2012/12/17";4,5
"2012/12/18";4,5
"2012/12/19";4,498
"2012/12/20";4,496
"2012/12/21";4,332
"2012/12/24";4,244
"2012/12/26";4,231
"2012/12/27";4,225
"2012/12/28";4,218
"2013/01/02";4,215
"2013/01/03";4,207
"2013/01/04";4,202
"2013/01/08";4,034
"2013/01/09";3,987
"2013/01/10";4,029
"2013/01/11";4,003
"2013/01/14";4,018
"2013/01/15";4,006
"2013/01/16";3,985
"2013/01/17";3,982
"2013/01/18";3,976
"2013/01/21";3,961
"2013/01/22";3,946
"2013/01/23";3,938
"2013/01/24";3,93
"2013/01/25";3,925
"2013/01/28";3,914
"2013/01/29";3,907
"2013/01/30";3,902
"2013/01/31";3,892
"2013/02/01";3,878
"2013/02/04";3,883
"2013/02/05";3,87
"2013/02/06";3,779
"2013/02/07";3,762
"2013/02/08";3,755
"2013/02/11";3,724
"2013/02/12";3,725
"2013/02/13";3,723
"2013/02/14";3,713
"2013/02/15";3,709
"2013/02/18";3,709
"2013/02/19";3,706
"2013/02/20";3,717
"2013/02/21";3,701
"2013/02/22";3,69
"2013/02/25";3,648
"2013/02/26";3,63
"2013/02/27";3,634
"2013/02/28";3,619
"2013/03/01";3,601
"2013/03/04";3,583
"2013/03/05";3,568
"2013/03/06";3,542
"2013/03/07";3,532
"2013/03/08";3,528
"2013/03/11";3,515
"2013/03/12";3,509
"2013/03/13";3,509
"2013/03/14";3,513
"2013/03/15";3,52
"2013/03/18";3,502
"2013/03/19";3,494
"2013/03/20";3,486
"2013/03/21";3,476
"2013/03/22";3,477
"2013/03/26";3,192
"2013/03/27";3,201
"2013/04/01";3,209
"2013/04/02";3,18
"2013/04/03";3,187
"2013/04/04";3,173
"2013/04/05";3,162
"2013/04/08";3,149
"2013/04/09";3,137
"2013/04/10";3,125
"2013/04/11";3,118
"2013/04/12";3,113
"2013/04/15";3,117
"2013/04/16";3,123
"2013/04/17";3,131
"2013/04/18";3,145
"2013/04/19";3,15
"2013/04/22";3,132
"2013/04/23";3,121
"2013/04/24";3,108
"2013/04/25";3,112
"2013/04/26";3,096
"2013/04/29";3,165
"2013/04/30";3,17
"2013/05/02";3,18
"2013/05/03";3,18
"2013/05/06";3,183
"2013/05/07";3,186
"2013/05/08";3,191
"2013/05/09";3,195
"2013/05/10";3,21
"2013/05/14";3,214
"2013/05/15";3,219
"2013/05/16";3,222
"2013/05/17";3,223
"2013/05/20";3,219
"2013/05/21";3,214
"2013/05/22";3,219
"2013/05/23";3,217
"2013/05/24";3,227
"2013/05/27";3,228
"2013/05/28";3,231
"2013/05/29";3,232
"2013/05/30";3,239
"2013/05/31";3,233
"2013/06/04";3,238
"2013/06/05";3,234
"2013/06/06";3,237
"2013/06/07";3,232
"2013/06/11";3,235
"2013/06/12";3,237
"2013/06/13";3,237
"2013/06/14";3,235
"2013/06/17";3,232
"2013/06/18";3,235
"2013/06/19";3,236
"2013/06/20";3,237
"2013/06/21";3,241
"2013/06/24";3,245
"2013/06/25";3,242
"2013/06/26";3,24
"2013/06/27";3,237
"2013/06/28";3,237
"2013/07/02";3,241
"2013/07/03";3,241
"2013/07/04";3,242
"2013/07/05";3,242
"2013/07/08";3,242
"2013/07/09";3,24
"2013/07/10";3,233
"2013/07/11";3,221
"2013/07/12";3,198
"2013/07/15";3,199
"2013/07/16";3,192
"2013/07/17";3,185
"2013/07/18";3,185
"2013/07/19";3,2
"2013/07/22";3,222
"2013/07/23";3,245
"2013/07/24";3,254
"2013/07/25";3,256
"2013/07/26";3,258
"2013/07/29";3,264
"2013/07/30";3,262
"2013/07/31";3,266
"2013/08/01";3,259
"2013/08/02";3,259
"2013/08/05";3,261
"2013/08/06";3,258
"2013/08/08";3,258
"2013/08/09";3,263
"2013/08/12";3,263
"2013/08/13";3,268
"2013/08/14";3,264
"2013/08/15";3,264
"2013/08/16";3,264
"2013/08/20";3,26
"2013/08/21";3,261
"2013/08/22";3,259
"2013/08/23";3,263
"2013/08/26";3,262
"2013/08/27";3,26
"2013/08/28";3,262
"2013/08/29";3,262
"2013/08/30";3,261
"2013/09/02";3,245
"2013/09/03";3,214
"2013/09/04";3,179
"2013/09/05";3,172
"2013/09/06";3,137
"2013/09/09";3,134
"2013/09/10";3,116
"2013/09/11";3,103
"2013/09/12";3,069
"2013/09/13";3,054
"2013/09/16";3,045
"2013/09/17";3,108
"2013/09/18";3,154
"2013/09/19";3,186
"2013/09/20";3,225
"2013/09/23";3,257
"2013/09/24";3,268
"2013/09/25";3,262
"2013/09/26";3,255
"2013/09/27";3,241
"2013/09/30";3,27
"2013/10/01";3,267
"2013/10/02";3,258
"2013/10/03";3,251
"2013/10/04";3,242
"2013/10/07";3,258
"2013/10/08";3,266
"2013/10/09";3,26
"2013/10/10";3,255
"2013/10/11";3,253
"2013/10/15";3,254
"2013/10/16";3,251
"2013/10/17";3,251
"2013/10/18";3,255
"2013/10/21";3,258
"2013/10/22";3,248
"2013/10/23";3,242
"2013/10/24";3,241
"2013/10/25";3,252
"2013/10/28";3,244
"2013/10/29";3,244
"2013/10/30";3,258
"2013/10/31";3,274
"2013/11/01";3,267
"2013/11/05";3,271
"2013/11/06";3,252
"2013/11/07";3,247
"2013/11/08";3,258
"2013/11/12";3,259
"2013/11/13";3,262
"2013/11/14";3,261
"2013/11/15";3,254
"2013/11/18";3,256
"2013/11/19";3,253
"2013/11/20";3,252
"2013/11/21";3,25
"2013/11/22";3,249
"2013/11/25";3,242
"2013/11/26";3,236
"2013/11/27";3,232
"2013/11/28";3,221
"2013/11/29";3,222
"2013/12/02";3,24
"2013/12/03";3,243
"2013/12/04";3,245
"2013/12/05";3,244
"2013/12/06";3,232
"2013/12/09";3,222
"2013/12/10";3,216
"2013/12/11";3,23
"2013/12/12";3,23
"2013/12/13";3,232
"2013/12/16";3,233
"2013/12/17";3,212
"2013/12/18";3,223
"2013/12/19";3,231
"2013/12/20";3,234
"2013/12/23";3,232
"2013/12/24";3,236
"2013/12/26";3,241
"2013/12/27";3,246
"2013/12/30";3,249
"2014/01/02";3,245
"2014/01/03";3,242
"2014/01/07";3,242
"2014/01/08";3,237
"2014/01/09";3,238
"2014/01/10";3,24
"2014/01/13";3,24
"2014/01/14";3,244
"2014/01/15";3,247
"2014/01/16";3,254
"2014/01/17";3,256
"2014/01/20";3,256
"2014/01/21";3,255
"2014/01/22";3,256
"2014/01/23";3,255
"2014/01/24";3,256
"2014/01/27";3,253
"2014/01/28";3,251
"2014/01/29";3,258
"2014/01/30";3,264
"2014/01/31";3,273
"2014/02/03";3,284
"2014/02/04";3,282
"2014/02/05";3,287
"2014/02/06";3,292
"2014/02/07";3,295
"2014/02/10";3,298
"2014/02/11";3,3
"2014/02/12";3,291
"2014/02/13";3,284
"2014/02/14";3,284
"2014/02/17";3,281
"2014/02/18";3,279
"2014/02/19";3,277
"2014/02/20";3,275
"2014/02/21";3,282
"2014/02/24";3,284
"2014/02/25";3,281
"2014/02/26";3,283
"2014/02/27";3,281
"2014/02/28";3,278
"2014/03/03";3,287
"2014/03/04";3,291
"2014/03/05";3,287
"2014/03/06";3,282
"2014/03/07";3,277
"2014/03/10";3,275
"2014/03/11";3,272
"2014/03/12";3,266
"2014/03/13";3,262
"2014/03/14";3,259
"2014/03/17";3,255
"2014/03/18";3,254
"2014/03/19";3,248
"2014/03/20";3,242
"2014/03/21";3,242
"2014/03/25";3,242
"2014/03/26";3,242
"2014/03/27";3,249
"2014/03/28";3,249
"2014/03/31";3,254
"2014/04/01";3,261
"2014/04/02";3,256
"2014/04/03";3,262
"2014/04/04";3,269
"2014/04/07";3,279
"2014/04/08";3,284
"2014/04/09";3,28
"2014/04/10";3,284
"2014/04/11";3,294
"2014/04/14";3,296
"2014/04/15";3,308
"2014/04/16";3,325
"2014/04/21";3,336
"2014/04/22";3,351
"2014/04/23";3,377
"2014/04/24";3,404
"2014/04/25";3,432
"2014/04/28";3,721
"2014/04/29";3,714
"2014/04/30";3,722
"2014/05/02";3,725
"2014/05/05";3,723
"2014/05/06";3,753
"2014/05/07";3,783
"2014/05/08";3,795
"2014/05/09";3,798
"2014/05/12";3,823
"2014/05/13";3,846
"2014/05/14";3,86
"2014/05/15";3,898
"2014/05/16";3,898
"2014/05/19";3,903
"2014/05/20";3,907
"2014/05/21";3,856
"2014/05/22";3,858
"2014/05/23";3,867
"2014/05/26";3,856
"2014/05/27";3,851
"2014/05/28";3,849
"2014/05/29";3,862
"2014/05/30";3,872
"2014/06/03";3,935
"2014/06/04";3,95
"2014/06/05";3,966
"2014/06/06";4,01
"2014/06/09";4,05
"2014/06/10";4,064
"2014/06/11";4,076
"2014/06/12";4,099
"2014/06/13";4,114
"2014/06/16";4,136
"2014/06/17";4,157
"2014/06/18";4,184
"2014/06/19";4,217
"2014/06/20";4,258
"2014/06/24";4,241
"2014/06/25";4,244
"2014/06/26";4,257
"2014/06/27";4,253
"2014/07/01";4,267
"2014/07/02";4,272
"2014/07/03";4,27
"2014/07/04";4,271
"2014/07/07";4,262
"2014/07/08";4,262
"2014/07/09";4,269
"2014/07/10";4,274
"2014/07/11";4,266
"2014/07/14";4,278
"2014/07/15";4,267
"2014/07/16";4,271
"2014/07/17";4,263
"2014/07/18";4,269
"2014/07/21";4,285
"2014/07/22";4,271
"2014/07/23";4,276
"2014/07/24";4,292
"2014/07/25";4,304
"2014/07/28";4,306
"2014/07/29";4,327
"2014/07/30";4,337
"2014/07/31";4,351
"2014/08/01";4,406
"2014/08/04";4,41
"2014/08/05";4,426
"2014/08/06";4,405
"2014/08/08";4,415
"2014/08/11";4,419
"2014/08/12";4,416
"2014/08/13";4,419
"2014/08/14";4,425
"2014/08/15";4,42
"2014/08/19";4,421
"2014/08/20";4,424
"2014/08/21";4,441
"2014/08/22";4,431
"2014/08/25";4,445
"2014/08/26";4,494
"2014/08/27";4,492
"2014/08/28";4,489
"2014/08/29";4,484
"2014/09/01";4,489
"2014/09/02";4,49
"2014/09/03";4,492
"2014/09/04";4,508
"2014/09/05";4,508
"2014/09/08";4,573
"2014/09/09";4,578
"2014/09/10";4,584
"2014/09/11";4,574
"2014/09/12";4,587
"2014/09/15";4,578
"2014/09/16";4,547
"2014/09/17";4,519
"2014/09/18";4,531
"2014/09/19";4,529
"2014/09/22";4,528
"2014/09/23";4,524
"2014/09/24";4,531
"2014/09/25";4,531
"2014/09/26";4,547
"2014/09/29";4,536
"2014/09/30";4,513
"2014/10/01";4,513
"2014/10/02";4,505
"2014/10/03";4,512
"2014/10/06";4,503
"2014/10/07";4,494
"2014/10/08";4,505
"2014/10/09";4,513
"2014/10/10";4,499
"2014/10/14";4,503
"2014/10/15";4,495
"2014/10/16";4,494
"2014/10/17";4,496
"2014/10/20";4,496
"2014/10/21";4,5
"2014/10/22";4,508
"2014/10/23";4,51
"2014/10/24";4,512
"2014/10/27";4,515
"2014/10/28";4,518
"2014/10/29";4,511
"2014/10/30";4,509
"2014/10/31";4,505
"2014/11/04";4,499
"2014/11/05";4,497
"2014/11/06";4,515
"2014/11/07";4,515
"2014/11/10";4,515
"2014/11/11";4,513
"2014/11/12";4,507
"2014/11/13";4,508
"2014/11/14";4,503
"2014/11/18";4,505
"2014/11/19";4,499
"2014/11/20";4,5
"2014/11/21";4,498
"2014/11/24";4,496
"2014/11/25";4,494
"2014/11/26";4,493
"2014/11/27";4,493
"2014/11/28";4,491
"2014/12/01";4,473
"2014/12/02";4,474
"2014/12/03";4,477
"2014/12/04";4,48
"2014/12/05";4,483
"2014/12/09";4,488
"2014/12/10";4,484
"2014/12/11";4,489
"2014/12/12";4,481
"2014/12/15";4,478
"2014/12/16";4,476
"2014/12/17";4,474
"2014/12/18";4,493
"2014/12/19";4,494
"2014/12/22";4,49
"2014/12/23";4,492
"2014/12/24";4,488
"2014/12/26";4,488
"2014/12/29";4,489
"2014/12/30";4,495
"2015/01/02";4,493
"2015/01/05";4,497
"2015/01/06";4,498
"2015/01/07";4,5
"2015/01/08";4,496
"2015/01/09";4,5
"2015/01/13";4,499
"2015/01/14";4,5
"2015/01/15";4,498
"2015/01/16";4,498
"2015/01/19";4,494
"2015/01/20";4,496
"2015/01/21";4,494
"2015/01/22";4,492
"2015/01/23";4,489
"2015/01/26";4,484
"2015/01/27";4,482
"2015/01/28";4,479
"2015/01/29";4,47
"2015/01/30";4,464
"2015/02/02";4,458
"2015/02/03";4,461
"2015/02/04";4,469
"2015/02/05";4,47
"2015/02/06";4,483
"2015/02/09";4,491
"2015/02/10";4,498
"2015/02/11";4,499
"2015/02/12";4,5
"2015/02/13";4,5
"2015/02/16";4,497
"2015/02/17";4,495
"2015/02/18";4,493
"2015/02/19";4,487
"2015/02/20";4,483
"2015/02/23";4,481
"2015/02/24";4,477
"2015/02/25";4,476
"2015/02/26";4,474
"2015/02/27";4,47
"2015/03/02";4,464
"2015/03/03";4,468
"2015/03/04";4,462
"2015/03/05";4,468
"2015/03/06";4,494
"2015/03/09";4,5
"2015/03/10";4,504
"2015/03/11";4,507
"2015/03/12";4,5
"2015/03/13";4,504
"2015/03/16";4,509
"2015/03/17";4,509
"2015/03/18";4,505
"2015/03/19";4,504
"2015/03/20";4,503
"2015/03/24";4,506
