"Fecha";"Miles de millones COP"
"2000/01/07";11998,0322451846
"2000/01/14";11890,8372271846
"2000/01/21";11425,3061081846
"2000/01/28";11542,2744881846
"2000/02/04";11416,911976684
"2000/02/11";11104,818517684
"2000/02/18";11052,122862684
"2000/02/25";11508,627918684
"2000/03/03";11673,043233684
"2000/03/10";11233,772866474
"2000/03/17";11282,915196474
"2000/03/24";11344,406023474
"2000/03/31";11751,272662474
"2000/04/07";11728,8664566
"2000/04/14";11464,7141106
"2000/04/21";11573,9869116
"2000/04/28";11901,6414636
"2000/05/05";11936,6575238
"2000/05/12";11323,8665348
"2000/05/19";11602,4541188
"2000/05/26";12073,5280558
"2000/06/02";12400,9675238
"2000/06/09";12252,848871714
"2000/06/16";11991,458011714
"2000/06/23";12154,097967714
"2000/06/30";12723,611209714
"2000/07/07";12814,4783196418
"2000/07/14";12727,0188926418
"2000/07/21";12681,9895376418
"2000/07/28";12919,9819396418
"2000/08/04";12736,970866968
"2000/08/11";12602,720722968
"2000/08/18";12337,173555968
"2000/08/25";12309,827736968
"2000/09/01";12606,055998968
"2000/09/08";12391,4481283538
"2000/09/15";12488,1953273538
"2000/09/22";12401,3345713538
"2000/09/29";12613,6684673538
"2000/10/06";12734,687305092
"2000/10/13";12488,060137682
"2000/10/20";12455,071687712
"2000/10/27";12603,436478532
"2000/11/03";12864,9102275841
"2000/11/10";12824,6484456441
"2000/11/17";12718,7400550341
"2000/11/24";12818,2490941541
"2000/12/01";13746,8195135241
"2000/12/08";14319,6887052995
"2000/12/15";14861,2346619295
"2000/12/22";15933,5534492195
"2000/12/29";16720,7815223295
"2001/01/05";15878,5227626215
"2001/01/12";14772,5769084215
"2001/01/19";14441,9681194115
"2001/01/26";14196,0250683315
"2001/02/02";14229,1586720815
"2001/02/09";13688,561410928
"2001/02/16";13259,610174438
"2001/02/23";13675,904329108
"2001/03/02";13695,406600008
"2001/03/09";13303,894631076
"2001/03/16";13406,855637366
"2001/03/23";13489,602855656
"2001/03/30";13824,367650336
"2001/04/06";13582,416806902
"2001/04/13";13331,068566892
"2001/04/20";13229,252478712
"2001/04/27";13674,854478652
"2001/05/04";13736,713965845
"2001/05/11";13300,283494455
"2001/05/18";13232,664598385
"2001/05/25";13583,285863365
"2001/06/01";13671,006572425
"2001/06/08";13432,327547356
"2001/06/15";13195,893800936
"2001/06/22";13379,714157406
"2001/06/29";14106,570088856
"2001/07/06";14057,133561802
"2001/07/13";13626,383030802
"2001/07/20";13624,981770802
"2001/07/27";13804,962156802
"2001/08/03";13667,682691656
"2001/08/10";13311,612522656
"2001/08/17";13055,559143656
"2001/08/24";13244,987232656
"2001/08/31";13415,217862656
"2001/09/07";13368,383378999
"2001/09/14";13203,213909299
"2001/09/21";13304,564837979
"2001/09/28";13587,654484939
"2001/10/05";13539,52068888
"2001/10/12";12994,17260539
"2001/10/19";13071,30581599
"2001/10/26";13583,57965006
"2001/11/02";13967,21477665
"2001/11/09";13733,19171318
"2001/11/16";14138,79372005
"2001/11/23";14358,7232306
"2001/11/30";14755,73270423
"2001/12/07";15404,795059188
"2001/12/14";15881,414381978
"2001/12/21";17481,534189958
"2001/12/28";18736,950128768
"2002/01/04";17640,319287228
"2002/01/11";16650,446626018
"2002/01/18";15768,608992848
"2002/01/25";15464,907465008
"2002/02/01";15479,387754638
"2002/02/08";15736,210799069
"2002/02/15";15141,538929829
"2002/02/22";15301,405335239
"2002/03/01";16053,394363089
"2002/03/08";15557,696246644
"2002/03/15";15347,415893704
"2002/03/22";15872,805518804
"2002/03/29";15641,206363324
"2002/04/05";15940,54319236
"2002/04/12";15498,73552976
"2002/04/19";15980,43919866
"2002/04/26";16085,61335284
"2002/05/03";16486,97579187
"2002/05/10";16187,087636738
"2002/05/17";15920,514718028
"2002/05/24";15980,546430468
"2002/05/31";16238,972388878
"2002/06/07";16698,753239087
"2002/06/14";16545,286217927
"2002/06/21";16954,675588417
"2002/06/28";17278,960239677
"2002/07/05";17733,247100283
"2002/07/12";17314,643901783
"2002/07/19";16931,448859803
"2002/07/26";17041,173829113
"2002/08/02";17453,268224343
"2002/08/09";17406,333205256
"2002/08/16";17153,280489716
"2002/08/23";17084,170790676
"2002/08/30";17265,513452896
"2002/09/06";17666,06053649
"2002/09/13";17224,2864118
"2002/09/20";17271,17825612
"2002/09/27";17157,72566148
"2002/10/04";17588,19324534
"2002/10/11";17260,71125105
"2002/10/18";17152,83751599
"2002/10/25";17126,48554682
"2002/11/01";17644,18872709
"2002/11/08";17469,886781201
"2002/11/15";17083,864553941
"2002/11/22";17395,666331881
"2002/11/29";17911,901038801
"2002/12/06";18851,484118071
"2002/12/13";19113,147286871
"2002/12/20";20287,559050191
"2002/12/27";21635,640149341
"2003/01/03";20904,1374575
"2003/01/10";20536,34981417
"2003/01/17";19545,27656812
"2003/01/24";19304,37016201
"2003/01/31";19232,10435647
"2003/02/07";18884,3644989009
"2003/02/14";18871,294168621
"2003/02/21";18811,6932585809
"2003/02/28";18805,5025665709
"2003/03/07";18990,322942452
"2003/03/14";18468,017777872
"2003/03/21";18765,434620892
"2003/03/28";18863,329215292
"2003/04/04";18954,417812543
"2003/04/11";18656,033541333
"2003/04/18";18525,397861483
"2003/04/25";18595,192145383
"2003/05/02";19060,04272723
"2003/05/09";18642,2106709
"2003/05/16";18145,06756611
"2003/05/23";18247,12845126
"2003/05/30";18290,89704169
"2003/06/06";18763,7323967
"2003/06/13";18910,41824451
"2003/06/20";19358,10406736
"2003/06/27";19648,3318121
"2003/07/04";19793,14837076
"2003/07/11";19594,75586265
"2003/07/18";19152,67993239
"2003/07/25";19190,66545479
"2003/08/01";19870,48555212
"2003/08/08";19603,364159
"2003/08/15";19303,40542883
"2003/08/22";19406,41336455
"2003/08/29";19458,56612992
"2003/09/05";19774,21020648
"2003/09/12";19282,56093668
"2003/09/19";19560,68706793
"2003/09/26";19688,25493861
"2003/10/03";20370,62299859
"2003/10/10";19970,69920901
"2003/10/17";19707,44224511
"2003/10/24";19983,08965849
"2003/10/31";20047,40724228
"2003/11/07";20727,7448507
"2003/11/14";20195,34249748
"2003/11/21";20630,72854605
"2003/11/28";20992,48998771
"2003/12/05";22285,2130954
"2003/12/12";22702,96861152
"2003/12/19";23835,99241231
"2003/12/26";24918,29936014
"2004/01/02";25024,17840052
"2004/01/09";23815,3369243
"2004/01/16";23211,33471154
"2004/01/23";22695,58962901
"2004/01/30";22474,84463966
"2004/02/06";22520,19637138
"2004/02/13";22427,94094295
"2004/02/20";22215,13303365
"2004/02/27";22049,84907883
"2004/03/05";22171,63351939
"2004/03/12";21304,25011355
"2004/03/19";21755,82545568
"2004/03/26";21573,04658895
"2004/04/02";22520,95937934
"2004/04/09";21886,50263777
"2004/04/16";21824,08600676
"2004/04/23";21438,61589163
"2004/04/30";21398,1652729
"2004/05/07";21865,8845167
"2004/05/14";21301,82379155
"2004/05/21";21435,66316527
"2004/05/28";21391,54070954
"2004/06/04";22164,83682632
"2004/06/11";21740,71997269
"2004/06/18";21942,65229648
"2004/06/25";22295,62163189
"2004/07/02";23035,25865732
"2004/07/09";22750,64603098
"2004/07/16";22288,75706802
"2004/07/23";22260,63817788
"2004/07/30";22145,91660984
"2004/08/06";22199,39067956
"2004/08/13";21662,08501803
"2004/08/20";22189,91827342
"2004/08/27";21935,08346778
"2004/09/03";22433,20118864
"2004/09/10";21706,62212615
"2004/09/17";21635,34988844
"2004/09/24";21830,6781694
"2004/10/01";22606,47675928
"2004/10/08";22180,3331535
"2004/10/15";22132,8944834
"2004/10/22";22192,11027869
"2004/10/29";22578,48014137
"2004/11/05";23215,24928549
"2004/11/12";22828,61057944
"2004/11/19";23417,23046011
"2004/11/26";23765,79306024
"2004/12/03";25463,64536081
"2004/12/10";25876,42286266
"2004/12/17";27100,84659453
"2004/12/24";28294,69987681
"2004/12/31";29113,72355199
"2005/01/07";27436,81347491
"2005/01/14";26458,35309365
"2005/01/21";26155,63974614
"2005/01/28";25788,36026331
"2005/02/04";25963,26634114
"2005/02/11";25374,39721973
"2005/02/18";25116,88736291
"2005/02/25";25367,14408905
"2005/03/04";26129,11285225
"2005/03/11";25498,18255935
"2005/03/18";26020,44417332
"2005/03/25";25587,65750782
"2005/04/01";25876,36911905
"2005/04/08";25301,13901747
"2005/04/15";25122,4309922
"2005/04/22";25342,94202697
"2005/04/29";25633,49321905
"2005/05/06";25634,67792022
"2005/05/13";25182,27025629
"2005/05/20";25482,06644453
"2005/05/27";25405,33040999
"2005/06/03";25720,41148448
"2005/06/10";25724,67948816
"2005/06/17";25888,69573422
"2005/06/24";26165,3521264
"2005/07/01";27474,90141286
"2005/07/08";26854,33755844
"2005/07/15";26212,5404475
"2005/07/22";26304,69809035
"2005/07/29";26136,5782134
"2005/08/05";26678,91145772
"2005/08/12";26184,3551585
"2005/08/19";26647,9019663
"2005/08/26";26119,34985455
"2005/09/02";26954,44577138
"2005/09/09";26394,90623531
"2005/09/16";26271,37822783
"2005/09/23";26578,97188135
"2005/09/30";26284,30457307
"2005/10/07";26784,13495309
"2005/10/14";26846,6873949
"2005/10/21";27386,9241879
"2005/10/28";26870,13273129
"2005/11/04";27469,74781217
"2005/11/11";27188,59668006
"2005/11/18";27330,63289228
"2005/11/25";27803,31503231
"2005/12/02";29901,34252712
"2005/12/09";30017,56874184
"2005/12/16";31445,92919817
"2005/12/23";33679,30770873
"2005/12/30";34292,64784668
"2006/01/06";32324,12815664
"2006/01/13";31162,89854924
"2006/01/20";31139,4879252
"2006/01/27";30639,11765679
"2006/02/03";30624,11890972
"2006/02/10";30103,13666533
"2006/02/17";29675,87881034
"2006/02/24";29841,48402052
"2006/03/03";30563,17426633
"2006/03/10";30039,97996177
"2006/03/17";30067,51716808
"2006/03/24";29976,39688336
"2006/03/31";29945,63152415
"2006/04/07";30656,5060572
"2006/04/14";30568,52929869
"2006/04/21";30278,63926327
"2006/04/28";30190,47697768
"2006/05/05";31235,71915262
"2006/05/12";30176,36313203
"2006/05/19";30792,10904674
"2006/05/26";30701,24992196
"2006/06/02";31333,81491175
"2006/06/09";31815,25319554
"2006/06/16";31950,61277197
"2006/06/23";32630,36531525
"2006/06/30";32966,16508562
"2006/07/07";33428,98209758
"2006/07/14";32745,72331965
"2006/07/21";33114,46557338
"2006/07/28";32678,62517522
"2006/08/04";33589,29301429
"2006/08/11";32993,56397294
"2006/08/18";33476,75495279
"2006/08/25";33236,33963691
"2006/09/01";34010,85026983
"2006/09/08";33340,42499974
"2006/09/15";32757,00211458
"2006/09/22";32805,0611166
"2006/09/29";32567,1355638
"2006/10/06";33404,340673
"2006/10/13";33216,62860507
"2006/10/20";34212,73485475
"2006/10/27";33197,00703845
"2006/11/03";34667,01130047
"2006/11/10";33865,56428536
"2006/11/17";33427,04679032
"2006/11/24";34162,74739012
"2006/12/01";35287,42385054
"2006/12/08";36265,16606141
"2006/12/15";37005,55543284
"2006/12/22";39552,9997261
"2006/12/29";40527,50283482
"2007/01/05";38301,43046928
"2007/01/12";37005,53386179
"2007/01/19";36589,11160803
"2007/01/26";36291,89015517
"2007/02/02";36416,41500563
"2007/02/09";35973,76803013
"2007/02/16";36172,24394921
"2007/02/23";35554,18167807
"2007/03/02";36023,69128488
"2007/03/09";35314,9288723
"2007/03/16";35169,51909201
"2007/03/23";35088,58592884
"2007/03/30";35358,31706823
"2007/04/06";35602,41186208
"2007/04/13";34993,53478706
"2007/04/20";35236,4920983
"2007/04/27";36101,1196725
"2007/05/04";36721,1246195
"2007/05/11";35239,26422031
"2007/05/18";35189,06918202
"2007/05/25";34856,2037745
"2007/06/01";35806,57069983
"2007/06/08";34933,45222903
"2007/06/15";35422,58714373
"2007/06/22";35972,05585366
"2007/06/29";36165,19728482
"2007/07/06";36136,90990725
"2007/07/13";35630,27953814
"2007/07/20";35952,59761078
"2007/07/27";35749,55161256
"2007/08/03";36340,45776761
"2007/08/10";35633,67363952
"2007/08/17";35481,36033063
"2007/08/24";35324,84540002
"2007/08/31";35509,30717474
"2007/09/07";35888,38724338
"2007/09/14";35830,15166629
"2007/09/21";35998,053977
"2007/09/28";36692,71587847
"2007/10/05";36801,39571233
"2007/10/12";36609,32589881
"2007/10/19";36838,24470728
"2007/10/26";36709,71293098
"2007/11/02";38599,24730762
"2007/11/09";38261,703912
"2007/11/16";38158,52579553
"2007/11/23";37935,15610928
"2007/11/30";38293,66967319
"2007/12/07";40229,44750183
"2007/12/14";41247,67328501
"2007/12/21";43792,77805709
"2007/12/28";45362,27063843
"2008/01/04";43502,89340778
"2008/01/11";42001,72803678
"2008/01/18";41354,46265996
"2008/01/25";40548,77605425
"2008/02/01";40005,68451408
"2008/02/08";39764,41057695
"2008/02/15";39511,84174503
"2008/02/22";39094,18347747
"2008/02/29";38826,57546153
"2008/03/07";39480,34873837
"2008/03/14";38904,80439554
"2008/03/21";38902,27434468
"2008/03/28";38489,43222066
"2008/04/04";39023,32142767
"2008/04/11";38270,61197562
"2008/04/18";38343,64533789
"2008/04/25";38057,34000266
"2008/05/02";38823,04104696
"2008/05/09";38306,46292569
"2008/05/16";38201,39798768
"2008/05/23";37770,72768184
"2008/05/30";37468,81496889
"2008/06/06";38606,18813971
"2008/06/13";38185,51106917
"2008/06/20";38500,09247313
"2008/06/27";39373,60888233
"2008/07/04";40298,61999134
"2008/07/11";39269,8333424
"2008/07/18";38642,81095318
"2008/07/25";38444,58174173
"2008/08/01";40011,49969642
"2008/08/08";39208,20645539
"2008/08/15";39028,08303761
"2008/08/22";38893,76242199
"2008/08/29";39099,08995965
"2008/09/05";39285,34314789
"2008/09/12";38722,56661962
"2008/09/19";38968,6022798
"2008/09/26";38726,29846305
"2008/10/03";39663,47243943
"2008/10/10";39715,38248789
"2008/10/17";39469,86285544
"2008/10/24";39646,42104428
"2008/10/31";40286,53134544
"2008/11/07";41105,64696275
"2008/11/14";41037,30256011
"2008/11/21";42059,71991073
"2008/11/28";41488,1353259
"2008/12/05";43758,9476766
"2008/12/12";44493,00931459
"2008/12/19";46804,51665747
"2008/12/26";49095,53790792
"2009/01/02";48708,76062935
"2009/01/09";46636,3740409
"2009/01/16";45620,86360694
"2009/01/23";44150,91412306
"2009/01/30";43213,75442632
"2009/02/06";43323,45409386
"2009/02/13";43689,97920183
"2009/02/20";44229,9062785
"2009/02/27";43421,03261567
"2009/03/06";43540,82158365
"2009/03/13";42888,24937612
"2009/03/20";42628,48911987
"2009/03/27";42588,32762155
"2009/04/03";43228,72886386
"2009/04/10";43150,55870677
"2009/04/17";41995,12662287
"2009/04/24";42490,44409258
"2009/05/01";42190,03684239
"2009/05/08";42087,63889949
"2009/05/15";41527,78154038
"2009/05/22";41438,37829915
"2009/05/29";41812,44291488
"2009/06/05";42805,46133889
"2009/06/12";42901,14117708
"2009/06/19";43929,50475567
"2009/06/26";43620,54375592
"2009/07/03";43935,87064562
"2009/07/10";43713,34451826
"2009/07/17";42810,32106189
"2009/07/24";42749,1747475
"2009/07/31";42810,847171
"2009/08/07";43632,55562396
"2009/08/14";43504,44302039
"2009/08/21";43473,72161537
"2009/08/28";43408,39519383
"2009/09/04";43229,14843894
"2009/09/11";42676,28583145
"2009/09/18";42046,45975548
"2009/09/25";42000,67923624
"2009/10/02";43135,46405259
"2009/10/09";42784,14540132
"2009/10/16";42848,16324444
"2009/10/23";42860,63541458
"2009/10/30";43565,51185462
"2009/11/06";43793,51206229
"2009/11/13";44724,06117841
"2009/11/20";45902,80157424
"2009/11/27";46062,57882425
"2009/12/04";48114,40862895
"2009/12/11";49148,13263925
"2009/12/18";50383,59740778
"2009/12/25";52014,71328836
"2010/01/01";52756,33023674
"2010/01/08";50126,18324308
"2010/01/15";49431,79066602
"2010/01/22";48337,30350441
"2010/01/29";48348,00342652
"2010/02/05";47967,2737813
"2010/02/12";48520,34127776
"2010/02/19";47924,29752129
"2010/02/26";47681,383582
"2010/03/05";47550,83331047
"2010/03/12";47559,91898088
"2010/03/19";47689,2107078
"2010/03/26";47688,17878205
"2010/04/02";47745,66451526
"2010/04/09";47976,36454207
"2010/04/16";48054,66415302
"2010/04/23";47763,29366569
"2010/04/30";48071,50975547
"2010/05/07";48356,85357827
"2010/05/14";47851,13428259
"2010/05/21";47987,58967064
"2010/05/28";47510,29453717
"2010/06/04";48426,15302867
"2010/06/11";48394,00946706
"2010/06/18";48630,56550635
"2010/06/25";48962,56412145
"2010/07/02";50316,53663002
"2010/07/09";49752,20256611
"2010/07/16";49707,22486741
"2010/07/23";49354,20289699
"2010/07/30";49401,61309868
"2010/08/06";49846,33316618
"2010/08/13";49836,9820033
"2010/08/20";50150,88678444
"2010/08/27";50387,09350634
"2010/09/03";50574,48058785
"2010/09/10";49926,54718934
"2010/09/17";49193,8791061
"2010/09/24";49442,22637025
"2010/10/01";50453,71716239
"2010/10/08";50015,26123197
"2010/10/15";50237,24601522
"2010/10/22";50420,58251135
"2010/10/29";51021,03901147
"2010/11/05";51399,22161307
"2010/11/12";51420,15293712
"2010/11/19";52478,0905595
"2010/11/26";53274,9606021
"2010/12/03";54705,16989984
"2010/12/10";56017,66953427
"2010/12/17";58203,74523157
"2010/12/24";61444,24192676
"2010/12/31";62090,57350198
"2011/01/07";59561,11914719
"2011/01/14";57968,90391745
"2011/01/21";57310,49110581
"2011/01/28";55963,05187742
"2011/02/04";56126,79518008
"2011/02/11";56257,90232557
"2011/02/18";56394,55302604
"2011/02/25";56779,69941576
"2011/03/04";56598,53665651
"2011/03/11";56409,85020494
"2011/03/18";55839,76096079
"2011/03/25";56197,04922855
"2011/04/01";56762,15658618
"2011/04/08";55735,23713313
"2011/04/15";55418,96700454
"2011/04/22";55443,64171104
"2011/04/29";55820,50162176
"2011/05/06";56265,20500144
"2011/05/13";54547,23609719
"2011/05/20";54910,1752566
"2011/05/27";55266,25948565
"2011/06/03";55629,55275089
"2011/06/10";55449,07427086
"2011/06/17";55720,78969485
"2011/06/24";56559,64929614
"2011/07/01";57920,32960312
"2011/07/08";57561,3546492
"2011/07/15";57252,90871989
"2011/07/22";56792,99143913
"2011/07/29";57310,23637218
"2011/08/05";56960,30394977
"2011/08/12";57253,43639498
"2011/08/19";57444,32353144
"2011/08/26";57653,00328879
"2011/09/02";58505,51223283
"2011/09/09";58510,71822036
"2011/09/16";57965,58217076
"2011/09/23";57716,16709799
"2011/09/30";58004,39851154
"2011/10/07";58405,13947114
"2011/10/14";58587,28724738
"2011/10/21";59548,72779813
"2011/10/28";59819,41807558
"2011/11/04";60297,65490149
"2011/11/11";60020,61989341
"2011/11/18";59164,08194543
"2011/11/25";60568,00265699
"2011/12/02";63486,59035712
"2011/12/09";64138,23128792
"2011/12/16";64711,84255248
"2011/12/23";67516,97470342
"2011/12/30";68792,66302669
"2012/01/06";65530,85203719
"2012/01/13";63560,62300583
"2012/01/20";61970,73458743
"2012/01/27";61868,31858968
"2012/02/03";61078,80852692
"2012/02/10";60707,16716587
"2012/02/17";60424,14960585
"2012/02/24";60504,0369907
"2012/03/02";60901,42788054
"2012/03/09";60420,27408193
