"Fecha";"Millones de USD"
"2000/01/31";7800,39649658
"2000/02/29";7864,44428662
"2000/03/31";8007,19186438
"2000/04/30";7972,54460859
"2000/05/31";8015,0559695
"2000/06/30";8105,37163349
"2000/07/31";8155,09847881
"2000/08/31";8184,38350114
"2000/09/30";8345,704249
"2000/10/31";8360,74605466
"2000/11/30";8543,96148938
"2000/12/31";8740,34222653
"2001/01/31";9239,10996637
"2001/02/28";9021,49041874
"2001/03/31";9019,06101617
"2001/04/30";9388,98120129
"2001/05/31";9382,79004744
"2001/06/30";9009,78575516
"2001/07/31";9188,98525843
"2001/08/31";9367,31352325
"2001/09/30";9502,32781515
"2001/10/31";9672,88012968
"2001/11/30";9754,57899011
"2001/12/31";9955,99393167
"2002/01/31";9874,18285792
"2002/02/28";10246,92587693
"2002/03/31";9943,59051302
"2002/04/30";10210,15977414
"2002/05/31";10319,55926171
"2002/06/30";10531,68776538
"2002/07/31";10390,60574799
"2002/08/31";10383,55609412
"2002/09/30";10440,67338047
"2002/10/31";10362,8118556
"2002/11/30";10404,03766193
"2002/12/31";10540,34653248
"2003/01/31";10775,87142831
"2003/02/28";10691,32240657
"2003/03/31";10316,69530319
"2003/04/30";10303,51724594
"2003/05/31";10259,88374919
"2003/06/30";10201,05490382
"2003/07/31";10151,94174919
"2003/08/31";10156,36667219
"2003/09/30";10554,01411619
"2003/10/31";10277,40464176
"2003/11/30";10360,36513752
"2003/12/31";10608,03312319
"2004/01/31";10931,60730319
"2004/02/29";10978,04420919
"2004/03/31";11018,56025219
"2004/04/30";11120,20260819
"2004/05/31";11047,21975805
"2004/06/30";11271,23363716
"2004/07/31";11447,29494333
"2004/08/31";11788,9701748
"2004/09/30";11811,02740302
"2004/10/31";11967,32335851
"2004/11/30";12650,59141116
"2004/12/31";13219,66688711
"2005/01/31";13423,46369765
"2005/02/28";13522,82900985
"2005/03/31";12464,03385851
"2005/04/30";12959,66455084
"2005/05/31";13087,14210593
"2005/06/30";13408,55040911
"2005/07/31";13547,69949635
"2005/08/31";14760,87350828
"2005/09/30";14618,55933684
"2005/10/31";13913,72288118
"2005/11/30";14428,7134335
"2005/12/31";14634,39082342
"2006/01/31";14424,52093958
"2006/02/28";14783,93957082
